Brand,id,created_at,source,original_text,clean_text,sentiment,polarity,subjectivity,lang,favorite_count,retweet_count,original_author,possibly_sensitive,hashtags,user_mentions,place,coordinates
0,1.31E+18,Mon Sep 14 22:30:30 +0000 2020,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","#US shares rose overnight, as the tech sector rebounded from recent losses. The Nasdaq Composite closed 1.9% higher… https://t.co/uCZIQ3Pg8X",shares rose overnight tech sector rebounded recent losses The Nasdaq Composite closed higher,"Sentiment(polarity=0.1875, subjectivity=0.45)",0.1875,0.45,en,0,0,MoneyTalkR3,,US,,Hong Kong,
0,1.31E+18,Mon Sep 14 22:30:05 +0000 2020,"<a href=""https://app.agorapulse.com"" rel=""nofollow"">AgoraPulse Manager</a>","New Apple AirPods Pro Bluetooth wireless earphones for $199 - Clark Deals
#apple #airpods #music #clarkdeals… https://t.co/0wKAlxyGU2",New Apple AirPods Pro Bluetooth wireless earphones 199 Clark Deals,"Sentiment(polarity=0.13636363636363635, subjectivity=0.45454545454545453)",0.136363636,0.454545455,en,0,0,ClarkDeals,FALSE,"apple, airpods, music, clarkdeals",,,
0,1.31E+18,Mon Sep 14 22:30:04 +0000 2020,"<a href=""http://www.jobely.com/"" rel=""nofollow"">Jobely.com Updater</a>",Are you a #developer looking for #job/#hiring on #iOS6/#iphone ? Check #jobely https://t.co/Eia7ofJgPR,Are looking Check,"Sentiment(polarity=0.0, subjectivity=0.0)",0,0,en,0,0,jobely,FALSE,"developer, job, hiring, iOS6, iphone, jobely",,USA,
0,1.31E+18,Mon Sep 14 22:29:29 +0000 2020,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @wallsbyjfl: New Wall Pack! #Digital #Mobile Walls #281-286 - Multiple Formats

Download:
https://t.co/7PINcQMOmz

Digital Wall Archive…",New Wall Pack Walls Multiple FormatsDownload Wall Archive,"Sentiment(polarity=0.06818181818181818, subjectivity=0.22727272727272727)",0.068181818,0.227272727,en,0,21,lokwanirahul52,FALSE,"Digital, Mobile",wallsbyjfl,,
0,1.31E+18,Mon Sep 14 22:29:25 +0000 2020,"<a href=""http://publicize.wp.com/"" rel=""nofollow"">WordPress.com</a>","| Donna’s apple, sweet potato, pork stew | #iphone | #ios | #mobilesecurity https://t.co/WW4VSO0LZq",Donnas apple sweet potato pork stew,"Sentiment(polarity=0.35, subjectivity=0.65)",0.35,0.65,en,0,2,NcsVentures,FALSE,"iphone, ios, mobilesecurity",,"Atlanta, GA",
0,1.31E+18,Mon Sep 14 22:29:16 +0000 2020,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Your free #stock is waiting for you! Join #Robinhood and we'll both get a stock like #Apple, #Ford, or #Facebook fo… https://t.co/L2aWoJhYBL",Your free waiting Join 'll get stock like fo,"Sentiment(polarity=0.4, subjectivity=0.8)",0.4,0.8,en,1,0,Tweett_E,TRUE,"stock, Robinhood, Apple, Ford, Facebook",,United States,
0,1.31E+18,Mon Sep 14 22:28:41 +0000 2020,"<a href=""https://buffer.com"" rel=""nofollow"">Buffer</a>","Some Wisconsinites prefer to celebrate the beginning of #autumn by visiting an #apple orchard, picking #pumpkins, o… https://t.co/Mnh0hD80Qc",Some Wisconsinites prefer celebrate beginning visiting orchard picking,"Sentiment(polarity=0.0, subjectivity=0.0)",0,0,en,0,0,uwprovision,FALSE,"autumn, apple, pumpkins",,"Middleton, WI",
0,1.31E+18,Mon Sep 14 22:28:09 +0000 2020,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @_jessygh: My new single ""Ancient Of Days"" is available on @applemusic .

Kindly check it out : https://t.co/FoWqVytRlk

#ancientofdays…",My new single `` Ancient Of Days '' available .Kindly check,"Sentiment(polarity=0.154978354978355, subjectivity=0.3562770562770563)",0.154978355,0.356277056,en,0,7,ZyGee_Dope,FALSE,ancientofdays,"_jessygh, AppleMusic","Accra, Ghana",
0,1.31E+18,Mon Sep 14 22:27:34 +0000 2020,,RT @IndieVideoGames: DINO MAKER! Make Dinos and Levels to share! #indiegame #gamedev #indiedev #retro #indievideogames #ios #indiegames #vi…,DINO MAKER Make Dinos Levels share,"Sentiment(polarity=0.0, subjectivity=0.0)",0,0,en,0,2,gamedevbot1024,,"indiegame, gamedev, indiedev, retro, indievideogames, ios, indiegames",IndieVideoGames,,
0,1.31E+18,Mon Sep 14 22:26:45 +0000 2020,,RT @IndieVideoGames: DINO MAKER! Make Dinos and Levels to share! #indiegame #gamedev #indiedev #retro #indievideogames #ios #indiegames #vi…,DINO MAKER Make Dinos Levels share,"Sentiment(polarity=0.0, subjectivity=0.0)",0,0,en,0,2,GamesBoner,,"indiegame, gamedev, indiedev, retro, indievideogames, ios, indiegames",IndieVideoGames,,
0,1.31E+18,Mon Sep 14 22:26:24 +0000 2020,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>",@Apple I need a new phone yesterday but my service provider @Verizon does not have stores open in our democratic st… https://t.co/J93rZ9VpGz,I need new phone yesterday service provider stores open democratic st,"Sentiment(polarity=0.06818181818181818, subjectivity=0.4772727272727273)",0.068181818,0.477272727,en,0,0,NEVERBOW,,,"Apple, Verizon",United States,
0,1.31E+18,Mon Sep 14 22:25:45 +0000 2020,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","#Apple EarPods with 3.5mm #Headphone https://t.co/okMmXsyiuL

Price Drop 65% off

👍 Like, Retweet, and Follow for M… https://t.co/cBrEP2WtFV",EarPods mm Drop Like Retweet Follow M,"Sentiment(polarity=0.0, subjectivity=0.0)",0,0,en,0,0,GapDeals,FALSE,"Apple, Headphone",,DreamVille,
0,1.31E+18,Mon Sep 14 22:25:42 +0000 2020,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Stoked to add the good vibes from @PixelFilmStudio into our next adventures! #PixelGoodVibes #PixelFilmStudios… https://t.co/5oIuCrYL7o,Stoked add good vibes next adventures,"Sentiment(polarity=0.35, subjectivity=0.30000000000000004)",0.35,0.3,en,0,0,DJNabore,FALSE,"PixelGoodVibes, PixelFilmStudios",PixelFilmStudio,Nor - Cal,
0,1.31E+18,Mon Sep 14 22:25:33 +0000 2020,"<a href=""http://www.indievideogames.com"" rel=""nofollow"">IVG PHP Machine</a>",DINO MAKER! Make Dinos and Levels to share! #indiegame #gamedev #indiedev #retro #indievideogames #ios #indiegames… https://t.co/9KU2w3l7xP,DINO MAKER Make Dinos Levels share,"Sentiment(polarity=0.0, subjectivity=0.0)",0,0,en,1,2,IndieVideoGames,FALSE,"indiegame, gamedev, indiedev, retro, indievideogames, ios, indiegames",,"San Diego, CA",
0,1.31E+18,Mon Sep 14 22:25:24 +0000 2020,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",RT @NcsVentures: #mobilesecurity | #android | #iphone | Northrop Grumman ends OmegA rocket program – Spaceflight Now https://t.co/ZbMnfZXN2w,Northrop Grumman ends OmegA rocket program SpaceflightNow,"Sentiment(polarity=0.0, subjectivity=0.0)",0,0,en,0,3,SovyTrust,FALSE,"mobilesecurity, android, iphone",NcsVentures,"Ashourne,  Co. Meath, Ireland",
